,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
298327,24761229.0,CC1=C(C(=NO1)C2=CC(=C(C(=C2)OC)OC)OC)C#CC3=NC=CN3C,Inactive
296707,51359302.0,CC1=CC=C(C=C1)S(=O)(=O)N2[C@H]3C[C@H](N(C[C@H]3C(=O)C[C@H]2C4=CC=C(C=C4)Cl)S(=O)(=O)C5=CC=CC=C5C)C6=CC=C(C=C6)Cl,Inactive
354513,44247219.0,CN(C[C@@H]1[C@H]2[C@H](C(=O)N(C2=O)CC3=CC=CC=C3)[C@](N1)(CC4=CC=CC=C4)C(=O)OC)C(=O)NC5=CC=C(C=C5)Cl.C(=O)(C(F)(F)F)O,Inactive
223402,2337905.0,C1OC2=C(O1)C=C(C=C2)C(=O)OCC(=O)NC3=CC=CC=C3C#N,Inactive
287519,24433.0,CCCCOC(=O)C1=CC=CC=C1N,Inactive
91582,2290834.0,COC1=CC=C(C=C1)N/C=C/C(=O)C2=CC=C(C=C2)Cl,Inactive
312139,992681.0,CCCC1=CC2=C(C=C1NC(=O)C3=CC=C(C=C3)Br)OCO2,Inactive
145528,2768227.0,CCN1C(=NN=C1SCC2=CC(=CC=C2)OC)C3=C(N(N=C3)C4=CC=CC=C4)C(F)(F)F,Inactive
75253,22548729.0,CC1=CC(=CC=C1)NC(=O)C2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)OCC(=O)N4,Inactive
142809,7858789.0,CC(C)[C@@H](C(=O)NC1CCCCCC1)NC(=O)C2=CC(=C(C(=C2)OC)OC)OC,Inactive
2840,2858454.0,C1C=CCC2C1C(=O)N(C2=O)C3=CC=CC(=C3)C(=O)O,Inactive
344384,24982295.0,CC1=C(C=C(C=C1)S(=O)(=O)NC2=CC=CC(=C2)C(=O)N3CCN(CC3)C4=CC=CC=C4O)F,Inactive
223340,2102515.0,COC1=CC(=CC(=C1OC)OC)CCC(=O)NC2=CC=C(C=C2)S(=O)(=O)N3CCOCC3,Inactive
313371,1234709.0,COC1=CC=C(C=C1)CC(=O)NC2=CC(=CC=C2)SC,Inactive
